1,Ратибор,"ст. Сургут (Хант.), наб. Лермонтова, д. 54, 795591",8 166 795 84 45,3
2,Алексей,"п. Жигулевск, бул. Республиканский, д. 1/4 к. 1, 022842",8 (230) 215-61-44,4
3,Нинель,"д. Троицк (Челяб.), бул. Пожарского, д. 77 к. 5, 920754",8 250 744 7509,3
4,Глафира,"д. Двинской, пр. Куйбышева, д. 2 стр. 4/6, 749656",+7 602 263 58 94,2
5,Евфросиния,"д. Лысьва, наб. Юности, д. 4, 478693",8 (946) 765-5886,1
6,Сильвестр,"ст. Вязьма, ш. Макарова, д. 16 к. 86, 452976",+7 (698) 425-3781,4
7,Автоном,"ст. Якша, пер. Лунный, д. 5 стр. 17, 457781",+70027025234,4
8,Эмиль,"г. Переславль-Залесский, пер. Партизанский, д. 45, 798130",+7 007 325 4311,3
9,Герман,"с. Зеленогорск (Ленин.), ул. Ватутина, д. 155 к. 6, 553555",+7 (066) 957-82-17,2
10,Варфоломей,"г. Тырныауз, наб. Инженерная, д. 778, 771051",82387061407,2
11,Трифон,"клх Усинск, ш. Февральское, д. 9/3, 764473",85040928357,5
12,Фаина,"к. Невьянск, пер. Ручейный, д. 4/9 к. 234, 591941",+7 993 069 63 98,5
13,Софон,"д. Суздаль, пер. Машиностроителей, д. 938 стр. 6, 312043",8 (629) 684-39-20,1
14,Милен,"д. Новомичуринск, ул. Лазурная, д. 32 к. 6/5, 597687",+74247874049,3
15,Самсон,"ст. Бугульма, ул. Одесская, д. 27 стр. 290, 143375",8 (741) 091-17-97,2
16,Денис,"п. Бронницы, наб. Ветеранов, д. 430 стр. 62, 909305",+7 432 916 75 61,3
17,Евстигней,"к. Подольск, пер. Коммунаров, д. 4/4 стр. 9, 469943",8 (258) 972-58-74,5
18,Петр,"д. Чайковский, наб. Ленинградская, д. 53 стр. 179, 699434",8 162 606 48 61,3
19,Эмиль,"д. Долинск, ул. Ясная, д. 973, 330338",8 (061) 929-96-89,2
20,Симон,"д. Бологое, ул. Семашко, д. 4/3 стр. 628, 897825",+7 (292) 024-1006,1
21,Устин,"д. Хужир, бул. Слободской, д. 2, 923610",+7 (421) 122-07-90,1
